Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,LR_Coefficient,Rank,Direction
age,0.4908534734461674,-0.022238727693723166,0.5690361595352307,0.9301654988017236,1,↓ Decreases Risk
sysBP,0.20795332533714517,-0.002787428643215569,0.2710453419278965,0.33236624421968186,2,↓ Decreases Risk
pack_years,0.19426031627136878,0.04176217078846137,0.24659865061780015,0.3577141056050885,3,↑ Increases Risk
male,0.1719551910979666,0.036647024995056204,0.1786475628824113,0.3606856684750112,4,↑ Increases Risk
totChol,0.12487507645329822,0.004016270566385068,0.16457525221073735,0.20106078973520164,5,↑ Increases Risk
glucose,0.07671103579208788,-0.0025961341575656467,0.14649590842334814,0.09345472829948978,6,↓ Decreases Risk
cholesterol_risk,0.06978471781531059,-0.009713428715953305,0.08021471051581637,-0.10260323307334795,7,↓ Decreases Risk
prevalentHyp,0.0537816778457259,-0.005854714297129514,0.05568963933492314,0.12027126269297174,8,↓ Decreases Risk
BPMeds,0.030824511659512614,-0.008960047622986238,0.06170027931008483,0.3441177710277353,9,↓ Decreases Risk
diaBP,0.028517477564581034,-0.0030185673440284444,0.03697231714664811,0.046308435989147446,10,↓ Decreases Risk
heartRate,0.01966849043896727,0.0002778778786471846,0.0256333151215589,-0.03182036925091992,11,↑ Increases Risk
BMI,0.019502709752048673,-0.00196767751519543,0.02512378133154609,0.03215327278340855,12,↓ Decreases Risk
education,0.0055832371230739985,0.00047677604417884216,0.006970297432752262,-0.014106981349045882,13,↑ Increases Risk
prevalentStroke,0.003290598811674841,-0.0015790263999980836,0.01450767488237001,0.2443456910945943,14,↓ Decreases Risk
age_group,0.0,0.0,0.0,0.0,15,↓ Decreases Risk
pulse_pressure,0.0,0.0,0.0,0.0,16,↓ Decreases Risk
cigsPerDay,0.0,0.0,0.0,0.0,17,↓ Decreases Risk
hypertension_stage,0.0,0.0,0.0,0.0,18,↓ Decreases Risk
currentSmoker,0.0,0.0,0.0,0.0,19,↓ Decreases Risk
diabetes,0.0,0.0,0.0,0.0,20,↓ Decreases Risk
bmi_category,0.0,0.0,0.0,0.0,21,↓ Decreases Risk
